url	title	row	#	Name	Symbol	Market Cap	Price	Circulating Supply	Volume (24h)	% 1h	% 24h	% 7d
https:/coinmarketcap.com/historical/20200723	22 July 2020	120	SwissBorg	CHSB	$81,482,241	$0.114039	714,514,612 CHSB *	$1,355,458	-0.31%	-1.59%	-8.51%	
https:/coinmarketcap.com/historical/20200722	21 July 2020	120	SwissBorg	CHSB	$82,455,021	$0.115400	714,514,612 CHSB *	$1,081,019	-2.86%	-2.36%	-11.51%	
https:/coinmarketcap.com/historical/20200721	20 July 2020	117	SwissBorg	CHSB	$85,257,330	$0.119322	714,514,612 CHSB *	$1,686,178	1.65%	3.33%	2.35%	
https:/coinmarketcap.com/historical/20200720	19 July 2020	114	SwissBorg	CHSB	$83,596,886	$0.116998	714,514,612 CHSB *	$1,552,163	-4.08%	-7.28%	13.80%	
https:/coinmarketcap.com/historical/20200719	18 July 2020	108	SwissBorg	CHSB	$90,403,841	$0.126525	714,514,612 CHSB *	$1,060,340	0.90%	-0.96%	25.96%	
https:/coinmarketcap.com/historical/20200718	17 July 2020	105	SwissBorg	CHSB	$90,962,231	$0.127306	714,514,612 CHSB *	$1,126,502	-0.26%	2.40%	36.59%	
https:/coinmarketcap.com/historical/20200717	16 July 2020	105	SwissBorg	CHSB	$88,170,650	$0.123399	714,514,612 CHSB *	$1,481,904	-2.04%	-0.24%	41.23%	
