url	title	row	#	Name	Symbol	Market Cap	Price	Circulating Supply	Volume (24h)	% 1h	% 24h	% 7d
https:/coinmarketcap.com/historical/20200907	07 September 2020	160	SwissBorg	CHSB	$64,284,680	$0.089069	721,742,060 CHSB *	$740,297	-0.09%	-3.62%	-21.49%	
https:/coinmarketcap.com/historical/20200908	08 September 2020	157	SwissBorg	CHSB	$62,463,016	$0.086511	722,028,071 CHSB *	$623,235	0.70%	-2.85%	-21.25%	
https:/coinmarketcap.com/historical/20200909	09 September 2020	156	SwissBorg	CHSB	$65,456,262	$0.090656	722,028,071 CHSB *	$497,850	-0.50%	4.71%	-13.06%	
https:/coinmarketcap.com/historical/20200910	10 September 2020	157	SwissBorg	CHSB	$66,751,606	$0.092450	722,028,071 CHSB *	$513,468	0.12%	1.49%	-1.04%
https:/coinmarketcap.com/historical/20200911	11 September 2020	160	SwissBorg	CHSB	$64,932,615	$0.092450	722,028,071 CHSB *	$513,468	0.12%	1.49%	-1.04%
