url	title	row	#	Name	Symbol	Market Cap	Price	Circulating Supply	Volume (24h)	% 1h	% 24h	% 7d
https:/coinmarketcap.com/historical/20200803	03 August 2020	124	SwissBorg	CHSB	$77,292,029	$0.107953	715,981,686 CHSB *	$1,028,482	-0.54%	5.19%	1.68%	
https:/coinmarketcap.com/historical/20200802	02 August 2020	123	SwissBorg	CHSB	$72,967,418	$0.101912	715,981,686 CHSB *	$848,295	-1.49%	-5.80%	-6.77%	
https:/coinmarketcap.com/historical/20200801	01 August 2020	122	SwissBorg	CHSB	$77,523,983	$0.108276	715,981,686 CHSB *	$939,150	-0.67%	-1.19%	-3.80%	
https:/coinmarketcap.com/historical/20200731	31 July 2020	117	SwissBorg	CHSB	$78,714,859	$0.109940	715,981,686 CHSB *	$659,022	0.63%	1.75%	5.83%	
https:/coinmarketcap.com/historical/20200730	30 July 2020	119	SwissBorg	CHSB	$77,783,418	$0.108639	715,981,686 CHSB *	$747,403	0.70%	-1.30%	-3.26%	
https:/coinmarketcap.com/historical/20200729	29 July 2020	117	SwissBorg	CHSB	$79,079,546	$0.110449	715,981,686 CHSB *	$752,711	-1.24%	-1.56%	-4.91%	
https:/coinmarketcap.com/historical/20200728	28 July 2020	117	SwissBorg	CHSB	$79,719,768	$0.111406	715,581,686 CHSB *	$882,695	-2.06%	6.37%	-5.27%	
https:/coinmarketcap.com/historical/20200727	27 July 2020	120	SwissBorg	CHSB	$73,697,857	$0.102990	715,581,686 CHSB *	$1,669,587	-1.16%	-5.40%	-12.41%	
https:/coinmarketcap.com/historical/20200726	26 July 2020	119	SwissBorg	CHSB	$77,885,592	$0.108843	715,574,612 CHSB *	$1,239,725	0.73%	-3.39%	-13.68%	
