url	title	row	#	Name	Symbol	Market Cap	Price	Circulating Supply	Volume (24h)	% 1h	% 24h	% 7d
https:/coinmarketcap.com/historical/20200418	17 April 2020	221	SwissBorg	CHSB	$16,701,792	$0.023717	704,203,768 CHSB *	$66,849	-1.33%	5.49%	2.82%	
https:/coinmarketcap.com/historical/20200417	16 April 2020	224	SwissBorg	CHSB	$15,731,007	$0.022339	704,203,768 CHSB *	$120,822	-0.51%	-1.09%	-5.82%	
https:/coinmarketcap.com/historical/20200416	15 April 2020	225	SwissBorg	CHSB	$15,827,195	$0.022475	704,203,768 CHSB *	$122,138	-0.12%	0.92%	-11.57%	
https:/coinmarketcap.com/historical/20200415	14 April 2020	216	SwissBorg	CHSB	$15,767,541	$0.022391	704,203,768 CHSB *	$85,501	-1.29%	-2.90%	-15.47%	
https:/coinmarketcap.com/historical/20200414	13 April 2020	211	SwissBorg	CHSB	$16,226,611	$0.023042	704,203,768 CHSB *	$139,866	-0.47%	3.84%	-8.00%	
https:/coinmarketcap.com/historical/20200413	12 April 2020	219	SwissBorg	CHSB	$15,598,911	$0.022151	704,203,768 CHSB *	$80,919	-0.58%	-4.19%	-11.14%	
https:/coinmarketcap.com/historical/20200412	11 April 2020	212	SwissBorg	CHSB	$16,508,569	$0.023443	704,203,768 CHSB *	$64,591	0.82%	0.67%	-4.04%	
https:/coinmarketcap.com/historical/20200411	10 April 2020	212	SwissBorg	CHSB	$16,454,697	$0.023366	704,203,768 CHSB *	$61,162	0.68%	-1.15%	-4.68%	
https:/coinmarketcap.com/historical/20200410	09 April 2020	210	SwissBorg	CHSB	$16,533,760	$0.023479	704,203,768 CHSB *	$82,920	-0.60%	-8.96%	-3.24%	
https:/coinmarketcap.com/historical/20200409	08 April 2020	210	SwissBorg	CHSB	$18,165,501	$0.025798	704,153,768 CHSB *	$163,960	0.16%	-3.36%	5.19%	
https:/coinmarketcap.com/historical/20200408	07 April 2020	205	SwissBorg	CHSB	$18,745,570	$0.026621	704,153,768 CHSB *	$96,308	0.24%	7.66%	18.62%	
https:/coinmarketcap.com/historical/20200407	06 April 2020	211	SwissBorg	CHSB	$17,452,895	$0.024786	704,153,768 CHSB *	$156,521	0.39%	-1.49%	15.07%	
https:/coinmarketcap.com/historical/20200406	05 April 2020	208	SwissBorg	CHSB	$17,752,854	$0.025212	704,153,768 CHSB *	$166,637	1.71%	3.49%	19.97%	
https:/coinmarketcap.com/historical/20200405	04 April 2020	206	SwissBorg	CHSB	$17,153,939	$0.024361	704,153,768 CHSB *	$73,644	0.40%	-0.46%	27.98%	
https:/coinmarketcap.com/historical/20200404	03 April 2020	204	SwissBorg	CHSB	$17,472,871	$0.024814	704,153,768 CHSB *	$93,053	0.08%	2.56%	24.64%	
https:/coinmarketcap.com/historical/20200403	02 April 2020	203	SwissBorg	CHSB	$17,005,080	$0.024150	704,153,768 CHSB *	$90,614	-0.22%	-2.31%	16.10%	
https:/coinmarketcap.com/historical/20200402	01 April 2020	202	SwissBorg	CHSB	$17,413,651	$0.024732	704,103,768 CHSB *	$131,964	-0.45%	9.41%	15.94%	
https:/coinmarketcap.com/historical/20200401	31 March 2020	209	SwissBorg	CHSB	$16,089,131	$0.022857	703,891,048 CHSB *	$93,326	4.06%	5.58%	9.59%	
https:/coinmarketcap.com/historical/20200331	29 February 2020	215	SwissBorg	CHSB	$15,397,858	$0.021875	703,891,048 CHSB *	$94,069	0.56%	4.11%	2.61%	
https:/coinmarketcap.com/historical/20200330	29 March 2020	217	SwissBorg	CHSB	$15,105,622	$0.021460	703,891,048 CHSB *	$78,683	1.53%	13.55%	7.07%	
https:/coinmarketcap.com/historical/20200329	28 March 2020	220	SwissBorg	CHSB	$13,311,826	$0.018913	703,839,048 CHSB *	$61,487	0.42%	-5.12%	5.38%	
