url	title	row	#	Name	Symbol	Market Cap	Price	Circulating Supply	Volume (24h)	% 1h	% 24h	% 7d
https:/coinmarketcap.com/historical/20190827	26 August 2019	450	SwissBorg	CHSB	$4,895,734	$0.008502	575,821,133 CHSB *	$22,055	0.99%	-2.14%	-12.09%	
https:/coinmarketcap.com/historical/20190826	25 August 2019	445	SwissBorg	CHSB	$4,986,219	$0.008659	575,821,133 CHSB *	$34,740	-0.53%	-2.69%	-4.43%	
https:/coinmarketcap.com/historical/20190825	24 August 2019	436	SwissBorg	CHSB	$5,083,836	$0.008829	575,821,133 CHSB *	$40,027	0.69%	-2.49%	8.35%	
https:/coinmarketcap.com/historical/20190824	23 August 2019	436	SwissBorg	CHSB	$5,259,429	$0.009134	575,821,133 CHSB *	$35,168	1.14%	-0.63%	18.44%	
https:/coinmarketcap.com/historical/20190823	22 August 2019	442	SwissBorg	CHSB	$5,301,565	$0.009207	575,821,133 CHSB *	$29,254	0.23%	-0.07%	16.34%	
https:/coinmarketcap.com/historical/20190822	21 August 2019	432	SwissBorg	CHSB	$5,307,572	$0.009217	575,821,133 CHSB *	$23,187	-0.68%	0.12%	24.52%	
https:/coinmarketcap.com/historical/20190821	20 August 2019	427	SwissBorg	CHSB	$5,312,144	$0.009225	575,821,133 CHSB *	$24,926	1.13%	-6.86%	30.82%	
https:/coinmarketcap.com/historical/20190820	19 August 2019	420	SwissBorg	CHSB	$5,617,069	$0.009755	575,821,133 CHSB *	$32,303	-1.55%	7.30%	25.89%	
https:/coinmarketcap.com/historical/20190819	18 August 2019	446	SwissBorg	CHSB	$5,197,141	$0.009026	575,821,133 CHSB *	$31,573	0.21%	10.65%	13.29%	
https:/coinmarketcap.com/historical/20190818	17 August 2019	457	SwissBorg	CHSB	$4,577,346	$0.007949	575,821,133 CHSB *	$20,063	-3.25%	2.61%	6.97%	
https:/coinmarketcap.com/historical/20190817	16 August 2019	462	SwissBorg	CHSB	$4,403,603	$0.007648	575,821,133 CHSB *	$24,502	-2.42%	-2.59%	1.40%	
https:/coinmarketcap.com/historical/20190816	15 August 2019	458	SwissBorg	CHSB	$4,506,876	$0.007827	575,821,133 CHSB *	$20,047	-0.47%	4.90%	2.16%	
https:/coinmarketcap.com/historical/20190815	14 August 2019	455	SwissBorg	CHSB	$4,311,378	$0.007487	575,821,133 CHSB *	$22,035	0.55%	5.47%	1.33%	
https:/coinmarketcap.com/historical/20190814	13 August 2019	470	SwissBorg	CHSB	$4,047,444	$0.007029	575,821,133 CHSB *	$22,501	-1.13%	-9.45%	-4.94%	
https:/coinmarketcap.com/historical/20190813	12 August 2019	457	SwissBorg	CHSB	$4,472,333	$0.007767	575,821,133 CHSB *	$30,333	0.25%	-2.94%	7.57%	
https:/coinmarketcap.com/historical/20190812	11 August 2019	463	SwissBorg	CHSB	$4,602,700	$0.007993	575,821,133 CHSB *	$27,936	-0.08%	6.35%	13.60%	
https:/coinmarketcap.com/historical/20190811	10 August 2019	479	SwissBorg	CHSB	$4,357,989	$0.007568	575,821,133 CHSB *	$21,410	-0.44%	0.58%	10.58%	
https:/coinmarketcap.com/historical/20190810	09 August 2019	475	SwissBorg	CHSB	$4,355,560	$0.007564	575,821,133 CHSB *	$21,474	0.70%	-1.42%	9.76%	
https:/coinmarketcap.com/historical/20190809	08 August 2019	485	SwissBorg	CHSB	$4,363,966	$0.007579	575,821,133 CHSB *	$19,026	0.34%	1.73%	10.18%	
https:/coinmarketcap.com/historical/20190808	07 August 2019	486	SwissBorg	CHSB	$4,291,961	$0.007454	575,821,133 CHSB *	$17,567	0.61%	0.31%	8.50%	
https:/coinmarketcap.com/historical/20190807	06 August 2019	490	SwissBorg	CHSB	$4,263,811	$0.007405	575,821,133 CHSB *	$15,456	-0.32%	3.25%	6.50%	
https:/coinmarketcap.com/historical/20190806	05 August 2019	503	SwissBorg	CHSB	$4,138,741	$0.007188	575,821,133 CHSB *	$17,305	0.74%	1.28%	15.52%	
https:/coinmarketcap.com/historical/20190805	04 August 2019	516	SwissBorg	CHSB	$4,114,214	$0.007145	575,821,133 CHSB *	$34,964	0.59%	5.16%	36.85%	
https:/coinmarketcap.com/historical/20190804	03 August 2019	525	SwissBorg	CHSB	$3,907,172	$0.006785	575,821,133 CHSB *	$27,161	0.24%	-1.97%	32.14%	
https:/coinmarketcap.com/historical/20190803	02 August 2019	517	SwissBorg	CHSB	$3,964,955	$0.006886	575,821,133 CHSB *	$96,430	-0.60%	1.09%	35.46%	
https:/coinmarketcap.com/historical/20190802	01 August 2019	527	SwissBorg	CHSB	$3,934,465	$0.006833	575,821,133 CHSB *	$29,569	0.24%	-0.66%	22.68%	
https:/coinmarketcap.com/historical/20190801	31 July 2019	532	SwissBorg	CHSB	$3,968,701	$0.006892	575,821,133 CHSB *	$40,598	0.07%	-1.41%	29.04%	
https:/coinmarketcap.com/historical/20190731	30 July 2019	526	SwissBorg	CHSB	$4,049,561	$0.007033	575,821,133 CHSB *	$93,900	0.45%	12.73%	38.83%	
https:/coinmarketcap.com/historical/20190730	29 July 2019	543	SwissBorg	CHSB	$3,570,304	$0.006200	575,821,133 CHSB *	$70,371	-0.25%	17.69%	17.28%	
https:/coinmarketcap.com/historical/20190729	28 July 2019	567	SwissBorg	CHSB	$3,026,910	$0.005257	575,821,133 CHSB *	$29,813	-0.32%	2.60%	-5.05%	
https:/coinmarketcap.com/historical/20190728	27 July 2019	572	SwissBorg	CHSB	$2,964,335	$0.005148	575,821,133 CHSB *	$31,786	1.90%	2.26%	-8.87%	
https:/coinmarketcap.com/historical/20190727	26 July 2019	570	SwissBorg	CHSB	$2,901,432	$0.005039	575,821,133 CHSB *	$41,584	0.14%	-9.64%	-19.73%	
https:/coinmarketcap.com/historical/20190726	25 July 2019	563	SwissBorg	CHSB	$3,165,332	$0.005497	575,821,133 CHSB *	$30,526	0.52%	2.77%	-10.20%	
https:/coinmarketcap.com/historical/20190725	24 July 2019	573	SwissBorg	CHSB	$3,097,252	$0.005379	575,821,133 CHSB *	$24,656	-0.06%	5.91%	-13.60%	
https:/coinmarketcap.com/historical/20190724	23 July 2019	576	SwissBorg	CHSB	$2,900,822	$0.005038	575,821,133 CHSB *	$53,054	-0.02%	-5.52%	-15.48%	
https:/coinmarketcap.com/historical/20190723	22 July 2019	560	SwissBorg	CHSB	$3,134,532	$0.005444	575,821,133 CHSB *	$22,159	-1.17%	-1.74%	-1.83%	
https:/coinmarketcap.com/historical/20190722	21 July 2019	567	SwissBorg	CHSB	$3,202,413	$0.005561	575,821,133 CHSB *	$33,409	0.71%	-1.93%	-9.36%	
https:/coinmarketcap.com/historical/20190721	20 July 2019	553	SwissBorg	CHSB	$3,268,072	$0.005675	575,821,133 CHSB *	$37,921	0.21%	-10.05%	-4.39%	
https:/coinmarketcap.com/historical/20190720	19 July 2019	542	SwissBorg	CHSB	$3,599,921	$0.006252	575,821,133 CHSB *	$34,757	-1.79%	2.72%	-1.87%	
https:/coinmarketcap.com/historical/20190719	18 July 2019	549	SwissBorg	CHSB	$3,490,271	$0.006061	575,821,133 CHSB *	$31,930	-0.24%	-3.59%	-9.01%	
