url	title	row	#	Name	Symbol	Market Cap	Price	Circulating Supply	Volume (24h)	% 1h	% 24h	% 7d
https:/coinmarketcap.com/historical/20191019	18 October 2019	402	SwissBorg	CHSB	$5,539,727	$0.009621	575,821,133 CHSB *	$13,234	0.67%	-0.33%	21.58%	
https:/coinmarketcap.com/historical/20191018	17 October 2019	403	SwissBorg	CHSB	$5,520,235	$0.009587	575,821,133 CHSB *	$17,415	-0.98%	-2.30%	20.80%	
https:/coinmarketcap.com/historical/20191017	16 October 2019	399	SwissBorg	CHSB	$5,637,830	$0.009791	575,821,133 CHSB *	$23,761	-0.42%	13.81%	12.31%	
https:/coinmarketcap.com/historical/20191016	15 October 2019	432	SwissBorg	CHSB	$4,937,210	$0.008574	575,821,133 CHSB *	$19,194	-0.02%	-4.03%	-0.64%	
https:/coinmarketcap.com/historical/20191015	14 October 2019	421	SwissBorg	CHSB	$5,119,698	$0.008891	575,821,133 CHSB *	$20,746	-0.40%	-0.85%	9.82%	
https:/coinmarketcap.com/historical/20191014	13 October 2019	431	SwissBorg	CHSB	$5,103,649	$0.008863	575,821,133 CHSB *	$24,244	-0.39%	11.26%	8.61%	
https:/coinmarketcap.com/historical/20191013	12 October 2019	449	SwissBorg	CHSB	$4,567,315	$0.007932	575,821,133 CHSB *	$17,731	-0.61%	-0.63%	-4.87%	
https:/coinmarketcap.com/historical/20191012	11 October 2019	436	SwissBorg	CHSB	$4,607,489	$0.008002	575,821,133 CHSB *	$19,151	0.28%	1.13%	-7.77%	
https:/coinmarketcap.com/historical/20191011	10 October 2019	447	SwissBorg	CHSB	$4,598,720	$0.007986	575,821,133 CHSB *	$23,187	0.34%	-8.45%	-7.04%	
https:/coinmarketcap.com/historical/20191010	09 October 2019	428	SwissBorg	CHSB	$5,028,519	$0.008733	575,821,133 CHSB *	$27,622	-0.03%	0.90%	6.97%	
https:/coinmarketcap.com/historical/20191009	08 October 2019	436	SwissBorg	CHSB	$4,954,425	$0.008604	575,821,133 CHSB *	$7,969	-0.57%	6.21%	1.77%	
https:/coinmarketcap.com/historical/20191008	07 October 2019	449	SwissBorg	CHSB	$4,652,822	$0.008080	575,821,133 CHSB *	$7,722	-0.33%	-0.39%	-8.92%	
https:/coinmarketcap.com/historical/20191007	06 October 2019	448	SwissBorg	CHSB	$4,656,159	$0.008086	575,821,133 CHSB *	$12,112	0.62%	-3.16%	-4.51%	
https:/coinmarketcap.com/historical/20191006	05 October 2019	421	SwissBorg	CHSB	$4,818,687	$0.008368	575,821,133 CHSB *	$10,037	0.05%	-3.80%	3.55%	
https:/coinmarketcap.com/historical/20191005	04 October 2019	418	SwissBorg	CHSB	$5,017,581	$0.008714	575,821,133 CHSB *	$9,012	0.09%	1.50%	1.62%	
https:/coinmarketcap.com/historical/20191004	03 October 2019	428	SwissBorg	CHSB	$4,948,537	$0.008594	575,821,133 CHSB *	$13,899	0.14%	4.65%	1.48%	
https:/coinmarketcap.com/historical/20191003	02 October 2019	429	SwissBorg	CHSB	$4,785,857	$0.008311	575,821,133 CHSB *	$8,896	0.84%	-2.63%	-2.81%	
https:/coinmarketcap.com/historical/20191002	01 October 2019	430	SwissBorg	CHSB	$4,841,820	$0.008409	575,821,133 CHSB *	$13,902	-0.63%	-5.27%	-13.15%	
https:/coinmarketcap.com/historical/20191001	30 September 2019	419	SwissBorg	CHSB	$5,066,099	$0.008798	575,821,133 CHSB *	$16,914	-1.03%	3.89%	-16.12%	
https:/coinmarketcap.com/historical/20190930	29 September 2019	424	SwissBorg	CHSB	$4,948,332	$0.008594	575,821,133 CHSB *	$22,446	1.67%	5.72%	-30.98%	
https:/coinmarketcap.com/historical/20190929	28 September 2019	421	SwissBorg	CHSB	$4,653,282	$0.008081	575,821,133 CHSB *	$19,465	-0.73%	-6.00%	-40.63%	
https:/coinmarketcap.com/historical/20190928	27 September 2019	419	SwissBorg	CHSB	$4,987,581	$0.008662	575,821,133 CHSB *	$7,928	0.75%	1.73%	-36.14%	
https:/coinmarketcap.com/historical/20190927	26 September 2019	416	SwissBorg	CHSB	$4,895,952	$0.008503	575,821,133 CHSB *	$13,507	-0.24%	-0.78%	-38.07%	
https:/coinmarketcap.com/historical/20190926	25 September 2019	411	SwissBorg	CHSB	$4,900,094	$0.008510	575,821,133 CHSB *	$28,111	-0.86%	-10.37%	-35.17%	
https:/coinmarketcap.com/historical/20190925	24 September 2019	399	SwissBorg	CHSB	$5,397,625	$0.009374	575,821,133 CHSB *	$29,158	-1.06%	-10.54%	-17.42%	
https:/coinmarketcap.com/historical/20190924	23 September 2019	378	SwissBorg	CHSB	$6,003,485	$0.010426	575,821,133 CHSB *	$37,178	-0.65%	-15.88%	-3.32%	
https:/coinmarketcap.com/historical/20190923	22 September 2019	371	SwissBorg	CHSB	$7,098,091	$0.012327	575,821,133 CHSB *	$38,169	-0.67%	-9.84%	6.47%	
https:/coinmarketcap.com/historical/20190922	21 September 2019	354	SwissBorg	CHSB	$7,930,449	$0.013772	575,821,133 CHSB *	$50,820	0.96%	1.84%	12.92%	
https:/coinmarketcap.com/historical/20190921	20 September 2019	364	SwissBorg	CHSB	$7,682,402	$0.013342	575,821,133 CHSB *	$45,801	-2.21%	-4.27%	6.92%	
https:/coinmarketcap.com/historical/20190920	19 September 2019	360	SwissBorg	CHSB	$8,090,473	$0.014050	575,821,133 CHSB *	$53,984	1.34%	7.15%	19.85%	
https:/coinmarketcap.com/historical/20190919	18 September 2019	364	SwissBorg	CHSB	$7,666,678	$0.013314	575,821,133 CHSB *	$55,579	3.02%	17.05%	26.10%	
https:/coinmarketcap.com/historical/20190918	17 September 2019	394	SwissBorg	CHSB	$6,488,102	$0.011268	575,821,133 CHSB *	$67,351	-1.37%	3.53%	-11.80%	
https:/coinmarketcap.com/historical/20190917	16 September 2019	397	SwissBorg	CHSB	$6,325,584	$0.010985	575,821,133 CHSB *	$41,230	0.16%	-5.17%	-18.40%	
https:/coinmarketcap.com/historical/20190916	15 September 2019	385	SwissBorg	CHSB	$6,723,274	$0.011676	575,821,133 CHSB *	$43,481	0.64%	-3.99%	-17.98%	
https:/coinmarketcap.com/historical/20190915	14 September 2019	368	SwissBorg	CHSB	$7,032,085	$0.012212	575,821,133 CHSB *	$41,890	0.57%	-1.62%	-17.83%	
https:/coinmarketcap.com/historical/20190914	13 September 2019	364	SwissBorg	CHSB	$7,166,730	$0.012446	575,821,133 CHSB *	$45,538	0.29%	3.36%	-14.66%	
https:/coinmarketcap.com/historical/20190913	12 September 2019	365	SwissBorg	CHSB	$7,129,922	$0.012382	575,821,133 CHSB *	$46,157	2.48%	14.57%	-1.44%	
https:/coinmarketcap.com/historical/20190912	11 September 2019	402	SwissBorg	CHSB	$6,228,803	$0.010817	575,821,133 CHSB *	$49,577	0.57%	-15.37%	-12.97%	
https:/coinmarketcap.com/historical/20190911	10 September 2019	356	SwissBorg	CHSB	$7,387,951	$0.012830	575,821,133 CHSB *	$43,606	0.03%	-5.10%	23.89%	
https:/coinmarketcap.com/historical/20190910	09 September 2019	353	SwissBorg	CHSB	$7,784,657	$0.013519	575,821,133 CHSB *	$54,897	0.76%	-6.52%	31.90%	
https:/coinmarketcap.com/historical/20190909	08 September 2019	349	SwissBorg	CHSB	$8,300,032	$0.014414	575,821,133 CHSB *	$61,179	-0.30%	-2.99%	45.83%	
https:/coinmarketcap.com/historical/20190908	07 September 2019	339	SwissBorg	CHSB	$8,563,027	$0.014871	575,821,133 CHSB *	$66,100	-0.05%	1.12%	49.20%	
https:/coinmarketcap.com/historical/20190907	06 September 2019	340	SwissBorg	CHSB	$8,427,328	$0.014635	575,821,133 CHSB *	$90,154	0.13%	18.58%	60.81%	
https:/coinmarketcap.com/historical/20190906	05 September 2019	361	SwissBorg	CHSB	$7,151,432	$0.012420	575,821,133 CHSB *	$60,028	0.61%	-2.16%	52.84%	
https:/coinmarketcap.com/historical/20190905	04 September 2019	364	SwissBorg	CHSB	$7,295,980	$0.012671	575,821,133 CHSB *	$57,313	-1.01%	22.90%	55.80%	
https:/coinmarketcap.com/historical/20190904	03 September 2019	405	SwissBorg	CHSB	$5,912,474	$0.010268	575,821,133 CHSB *	$37,706	-0.78%	0.58%	24.58%	
https:/coinmarketcap.com/historical/20190903	02 September 2019	401	SwissBorg	CHSB	$5,835,026	$0.010133	575,821,133 CHSB *	$40,931	-0.75%	3.18%	20.07%	
https:/coinmarketcap.com/historical/20190902	01 September 2019	415	SwissBorg	CHSB	$5,640,395	$0.009795	575,821,133 CHSB *	$44,095	-0.36%	-1.89%	13.49%	
https:/coinmarketcap.com/historical/20190901	31 August 2019	403	SwissBorg	CHSB	$5,735,458	$0.009960	575,821,133 CHSB *	$79,588	-1.17%	8.07%	11.70%	
https:/coinmarketcap.com/historical/20190831	30 August 2019	422	SwissBorg	CHSB	$5,316,091	$0.009232	575,821,133 CHSB *	$38,421	-0.27%	13.82%	2.44%	
https:/coinmarketcap.com/historical/20190830	29 August 2019	452	SwissBorg	CHSB	$4,640,819	$0.008059	575,821,133 CHSB *	$28,708	-0.58%	-1.09%	-11.95%	
https:/coinmarketcap.com/historical/20190829	28 August 2019	448	SwissBorg	CHSB	$4,694,166	$0.008152	575,821,133 CHSB *	$25,358	-0.31%	-2.16%	-11.55%	
https:/coinmarketcap.com/historical/20190828	27 August 2019	446	SwissBorg	CHSB	$4,759,920	$0.008266	575,821,133 CHSB *	$26,906	-0.95%	-2.13%	-10.21%	
