url	title	row	#	Name	Symbol	Market Cap	Price	Circulating Supply	Volume (24h)	% 1h	% 24h	% 7d
https:/coinmarketcap.com/historical/20200711	10 July 2020	118	SwissBorg	CHSB	$66,773,780	$0.093453	714,514,612 CHSB *	$800,143	0.08%	6.95%	2.99%	
https:/coinmarketcap.com/historical/20200710	09 July 2020	123	SwissBorg	CHSB	$62,844,872	$0.087955	714,514,612 CHSB *	$799,040	0.65%	-4.37%	-10.59%	
https:/coinmarketcap.com/historical/20200709	08 July 2020	120	SwissBorg	CHSB	$65,579,770	$0.091911	713,514,612 CHSB *	$1,109,084	0.05%	4.06%	-11.67%	
https:/coinmarketcap.com/historical/20200708	07 July 2020	119	SwissBorg	CHSB	$63,006,215	$0.088304	713,514,612 CHSB *	$1,061,346	-0.27%	-5.85%	-21.06%	
https:/coinmarketcap.com/historical/20200707	06 July 2020	111	SwissBorg	CHSB	$67,290,453	$0.094308	713,514,612 CHSB *	$913,953	0.93%	-3.60%	-16.68%	
https:/coinmarketcap.com/historical/20200706	05 July 2020	110	SwissBorg	CHSB	$69,142,278	$0.096904	713,514,612 CHSB *	$1,063,283	0.55%	10.05%	-12.32%	
