url	title	row	#	Name	Symbol	Market Cap	Price	Circulating Supply	Volume (24h)	% 1h	% 24h	% 7d
https:/coinmarketcap.com/historical/20200825	25 August 2020	141	SwissBorg	CHSB	$82,186,509	$0.114783	716,017,070 CHSB *	$1,368,735	-0.29%	-8.19%	3.92%	
https:/coinmarketcap.com/historical/20200824	24 August 2020	138	SwissBorg	CHSB	$89,874,551	$0.125526	715,981,686 CHSB *	$1,264,450	0.94%	4.64%	8.57%	
https:/coinmarketcap.com/historical/20200823	23 August 2020	135	SwissBorg	CHSB	$85,789,777	$0.119821	715,981,686 CHSB *	$866,392	0.35%	2.00%	4.81%	
https:/coinmarketcap.com/historical/20200822	22 August 2020	137	SwissBorg	CHSB	$84,134,469	$0.117509	715,981,686 CHSB *	$809,313	-0.47%	0.03%	2.66%	
https:/coinmarketcap.com/historical/20200821	21 August 2020	138	SwissBorg	CHSB	$84,602,649	$0.118163	715,981,686 CHSB *	$953,614	-0.31%	4.84%	-0.18%	
