url	title	row	#	Name	Symbol	Market Cap	Price	Circulating Supply	Volume (24h)	% 1h	% 24h	% 7d
https:/coinmarketcap.com/historical/20200905	05 September 2020	156	SwissBorg	CHSB	$64,061,558	$0.088760	721,742,060 CHSB *	$789,159	1.59%	-8.74%	-24.76%	
https:/coinmarketcap.com/historical/20200904	04 September 2020	153	SwissBorg	CHSB	$70,038,389	$0.097041	721,742,060 CHSB *	$682,707	-0.85%	4.02%	-17.61%	
https:/coinmarketcap.com/historical/20200903	03 September 2020	153	SwissBorg	CHSB	$65,853,502	$0.091969	716,042,060 CHSB *	$1,068,608	-5.28%	-12.00%	-20.67%	
https:/coinmarketcap.com/historical/20200902	02 September 2020	160	SwissBorg	CHSB	$74,605,028	$0.104191	716,042,060 CHSB *	$811,021	-0.64%	-4.88%	-11.94%	
https:/coinmarketcap.com/historical/20200901	01 September 2020	159	SwissBorg	CHSB	$77,661,126	$0.108459	716,042,060 CHSB *	$1,169,740	-1.50%	-4.01%	-5.63%	
