url	title	row	#	Name	Symbol	Market Cap	Price	Circulating Supply	Volume (24h)	% 1h	% 24h	% 7d
https:/coinmarketcap.com/historical/20200831	31 August 2020	157	SwissBorg	CHSB	$80,821,102	$0.112872	716,042,060 CHSB *	$745,351	-0.16%	-3.96%	-9.32%	
https:/coinmarketcap.com/historical/20200830	30 August 2020	153	SwissBorg	CHSB	$84,074,771	$0.117416	716,042,060 CHSB *	$773,691	-0.39%	-0.59%	-2.38%	
https:/coinmarketcap.com/historical/20200829	29 August 2020	144	SwissBorg	CHSB	$84,577,801	$0.118118	716,042,060 CHSB *	$790,516	-0.16%	-0.14%	0.77%	
https:/coinmarketcap.com/historical/20200828	28 August 2020	142	SwissBorg	CHSB	$84,997,527	$0.118705	716,042,060 CHSB *	$703,930	0.70%	2.63%	1.37%	
https:/coinmarketcap.com/historical/20200827	27 August 2020	141	SwissBorg	CHSB	$82,428,633	$0.115117	716,042,060 CHSB *	$655,154	-0.38%	-2.81%	1.61%	
https:/coinmarketcap.com/historical/20200826	26 August 2020	144	SwissBorg	CHSB	$85,222,245	$0.119018	716,042,060 CHSB *	$901,783	0.39%	3.52%	9.99%	
