url	title	row	#	Name	Symbol	Market Cap	Price	Circulating Supply	Volume (24h)	% 1h	% 24h	% 7d
https:/coinmarketcap.com/historical/20200513	12 May 2020	198	SwissBorg	CHSB	$19,752,149	$0.028047	704,253,768 CHSB *	$398,597	0.75%	8.51%	42.99%	
https:/coinmarketcap.com/historical/20200512	11 May 2020	200	SwissBorg	CHSB	$18,336,489	$0.026037	704,253,768 CHSB *	$632,055	2.82%	22.05%	37.75%	
https:/coinmarketcap.com/historical/20200511	10 May 2020	220	SwissBorg	CHSB	$14,859,172	$0.021099	704,253,768 CHSB *	$166,195	-1.14%	0.95%	17.66%	
https:/coinmarketcap.com/historical/20200510	09 May 2020	222	SwissBorg	CHSB	$14,795,279	$0.021008	704,253,768 CHSB *	$148,488	2.24%	-6.48%	31.79%	
https:/coinmarketcap.com/historical/20200509	08 May 2020	217	SwissBorg	CHSB	$16,434,365	$0.023336	704,253,768 CHSB *	$126,515	-0.17%	-11.15%	42.97%	
https:/coinmarketcap.com/historical/20200508	07 May 2020	213	SwissBorg	CHSB	$18,405,122	$0.026134	704,253,768 CHSB *	$165,491	-0.39%	20.42%	59.01%	
https:/coinmarketcap.com/historical/20200507	06 May 2020	227	SwissBorg	CHSB	$15,224,982	$0.021619	704,253,768 CHSB *	$140,164	-0.37%	11.44%	25.90%	
https:/coinmarketcap.com/historical/20200506	05 May 2020	240	SwissBorg	CHSB	$13,621,261	$0.019341	704,253,768 CHSB *	$142,427	-1.56%	1.79%	5.39%	
https:/coinmarketcap.com/historical/20200505	04 May 2020	237	SwissBorg	CHSB	$13,473,231	$0.019131	704,253,768 CHSB *	$88,258	1.51%	5.28%	5.09%	
https:/coinmarketcap.com/historical/20200504	03 May 2020	239	SwissBorg	CHSB	$12,764,740	$0.018125	704,253,768 CHSB *	$107,807	-0.73%	13.38%	1.22%	
https:/coinmarketcap.com/historical/20200503	02 May 2020	704	SwissBorg	CHSB	$11,277,649	$0.016014	704,253,768 CHSB *	$45,097	-0.28%	-2.11%	-17.39%	
https:/coinmarketcap.com/historical/20200502	01 May 2020	255	SwissBorg	CHSB	$11,432,571	$0.016234	704,253,768 CHSB *	$113,463	-0.35%	-1.18%	-14.68%	
https:/coinmarketcap.com/historical/20200501	30 April 2020	254	SwissBorg	CHSB	$11,512,561	$0.016347	704,253,768 CHSB *	$109,820	-0.70%	-5.55%	-19.15%	
https:/coinmarketcap.com/historical/20200430	29 April 2020	246	SwissBorg	CHSB	$12,232,186	$0.017370	704,203,768 CHSB *	$294,432	-0.77%	-5.69%	-15.99%	
https:/coinmarketcap.com/historical/20200429	28 April 2020	248	SwissBorg	CHSB	$13,031,075	$0.018505	704,203,768 CHSB *	$164,448	0.43%	1.05%	-8.32%	
https:/coinmarketcap.com/historical/20200428	27 April 2020	238	SwissBorg	CHSB	$12,915,812	$0.018341	704,203,768 CHSB *	$94,551	-0.06%	2.19%	-6.81%	
https:/coinmarketcap.com/historical/20200427	26 April 2020	271	SwissBorg	CHSB	$12,679,197	$0.018005	704,203,768 CHSB *	$114,775	-0.79%	-7.44%	-10.68%	
https:/coinmarketcap.com/historical/20200426	25 April 2020	256	SwissBorg	CHSB	$13,712,649	$0.019473	704,203,768 CHSB *	$81,232	0.44%	2.37%	-15.58%	
https:/coinmarketcap.com/historical/20200425	24 April 2020	255	SwissBorg	CHSB	$13,589,261	$0.019297	704,203,768 CHSB *	$129,064	1.12%	-5.23%	-18.78%	
https:/coinmarketcap.com/historical/20200424	23 April 2020	246	SwissBorg	CHSB	$14,422,703	$0.020481	704,203,768 CHSB *	$132,828	-0.12%	-0.70%	-9.29%	
https:/coinmarketcap.com/historical/20200423	22 April 2020	240	SwissBorg	CHSB	$14,394,357	$0.020441	704,203,768 CHSB *	$108,421	-0.50%	1.03%	-9.07%	
https:/coinmarketcap.com/historical/20200422	21 April 2020	239	SwissBorg	CHSB	$14,140,275	$0.020080	704,203,768 CHSB *	$117,717	-0.29%	2.17%	-10.31%	
https:/coinmarketcap.com/historical/20200421	20 April 2020	239	SwissBorg	CHSB	$13,858,950	$0.019680	704,203,768 CHSB *	$99,955	0.29%	-1.75%	-15.25%	
https:/coinmarketcap.com/historical/20200420	19 April 2020	238	SwissBorg	CHSB	$13,894,799	$0.019731	704,203,768 CHSB *	$177,605	-1.87%	-14.08%	-10.89%	
https:/coinmarketcap.com/historical/20200419	18 April 2020	223	SwissBorg	CHSB	$16,121,703	$0.022894	704,203,768 CHSB *	$86,134	-0.49%	-3.80%	-0.55%	
