url	title	row	#	Name	Symbol	Market Cap	Price	Circulating Supply	Volume (24h)	% 1h	% 24h	% 7d
https:/coinmarketcap.com/historical/20200623	22 June 2020	82	SwissBorg	CHSB	$105,285,852	$0.147244	715,045,255 CHSB *	$1,829,744	2.55%	0.80%	16.63%	
https:/coinmarketcap.com/historical/20200622	21 June 2020	80	SwissBorg	CHSB	$104,250,263	$0.145795	715,045,255 CHSB *	$2,542,486	0.18%	11.32%	44.55%	
https:/coinmarketcap.com/historical/20200621	20 June 2020	85	SwissBorg	CHSB	$93,515,353	$0.131611	710,544,983 CHSB *	$1,481,986	0.77%	4.89%	38.96%	
https:/coinmarketcap.com/historical/20200620	19 June 2020	91	SwissBorg	CHSB	$89,469,445	$0.125917	710,544,983 CHSB *	$1,596,489	-1.34%	-9.11%	51.89%	
https:/coinmarketcap.com/historical/20200619	18 June 2020	84	SwissBorg	CHSB	$97,432,211	$0.137123	710,544,983 CHSB *	$2,762,420	-2.58%	-0.41%	69.35%	
https:/coinmarketcap.com/historical/20200618	17 June 2020	83	SwissBorg	CHSB	$97,158,791	$0.136738	710,544,983 CHSB *	$5,243,111	-0.77%	-17.82%	74.56%	
https:/coinmarketcap.com/historical/20200617	16 June 2020	75	SwissBorg	CHSB	$118,309,522	$0.166505	710,544,983 CHSB *	$4,962,115	2.54%	29.23%	100.74%	
https:/coinmarketcap.com/historical/20200616	15 June 2020	88	SwissBorg	CHSB	$92,138,395	$0.129673	710,544,983 CHSB *	$2,879,353	3.16%	29.66%	45.27%	
https:/coinmarketcap.com/historical/20200615	14 June 2020	106	SwissBorg	CHSB	$70,988,383	$0.099907	710,544,983 CHSB *	$1,516,087	-0.19%	3.09%	42.99%	
https:/coinmarketcap.com/historical/20200614	13 June 2020	110	SwissBorg	CHSB	$68,316,407	$0.096146	710,544,983 CHSB *	$1,443,103	0.23%	14.86%	87.09%	
https:/coinmarketcap.com/historical/20200613	12 June 2020	123	SwissBorg	CHSB	$59,211,775	$0.083333	710,544,983 CHSB *	$675,777	0.19%	2.95%	69.99%	
https:/coinmarketcap.com/historical/20200612	11 June 2020	125	SwissBorg	CHSB	$57,468,997	$0.080880	710,544,983 CHSB *	$719,480	-0.15%	5.23%	48.88%	
