url	title	row	#	Name	Symbol	Market Cap	Price	Circulating Supply	Volume (24h)	% 1h	% 24h	% 7d
https:/coinmarketcap.com/historical/20200716	15 July 2020	104	SwissBorg	CHSB	$87,640,059	$0.122657	714,514,612 CHSB *	$2,533,242	-1.09%	-6.14%	34.18%	
https:/coinmarketcap.com/historical/20200715	14 July 2020	96	SwissBorg	CHSB	$93,087,659	$0.130281	714,514,612 CHSB *	$2,411,280	-0.79%	9.93%	47.16%	
https:/coinmarketcap.com/historical/20200714	13 July 2020	105	SwissBorg	CHSB	$84,919,355	$0.118849	714,514,612 CHSB *	$2,099,472	0.91%	15.73%	27.21%	
https:/coinmarketcap.com/historical/20200713	12 July 2020	115	SwissBorg	CHSB	$74,023,844	$0.103600	714,514,612 CHSB *	$1,628,193	0.45%	4.14%	5.62%	
https:/coinmarketcap.com/historical/20200712	11 July 2020	112	SwissBorg	CHSB	$71,065,826	$0.099460	714,514,612 CHSB *	$1,336,321	0.02%	5.86%	10.63%	
