url	title	row	#	Name	Symbol	Market Cap	Price	Circulating Supply	Volume (24h)	% 1h	% 24h	% 7d
https:/coinmarketcap.com/historical/20200611	10 June 2020	122	SwissBorg	CHSB	$56,138,395	$0.079008	710,544,983 CHSB *	$1,199,651	3.76%	-6.29%	90.97%	
https:/coinmarketcap.com/historical/20200610	09 June 2020	123	SwissBorg	CHSB	$59,810,838	$0.084176	710,544,983 CHSB *	$2,218,034	0.02%	-6.17%	154.71%	
https:/coinmarketcap.com/historical/20200609	08 June 2020	114	SwissBorg	CHSB	$63,219,267	$0.089056	709,880,233 CHSB *	$2,927,926	-0.77%	26.00%	188.93%	
https:/coinmarketcap.com/historical/20200608	07 June 2020	136	SwissBorg	CHSB	$50,742,006	$0.071987	704,880,233 CHSB *	$1,432,286	2.68%	38.42%	134.48%	
https:/coinmarketcap.com/historical/20200607	06 June 2020	158	SwissBorg	CHSB	$37,050,872	$0.052563	704,880,233 CHSB *	$487,453	1.66%	10.57%	76.67%	
https:/coinmarketcap.com/historical/20200606	05 June 2020	170	SwissBorg	CHSB	$33,717,728	$0.047835	704,880,233 CHSB *	$783,713	-2.54%	-13.09%	57.90%	
https:/coinmarketcap.com/historical/20200605	04 June 2020	154	SwissBorg	CHSB	$38,871,728	$0.055147	704,880,233 CHSB *	$934,547	-0.52%	39.73%	82.45%	
https:/coinmarketcap.com/historical/20200604	03 June 2020	191	SwissBorg	CHSB	$27,394,680	$0.038864	704,880,233 CHSB *	$960,138	-0.64%	16.65%	29.65%	
https:/coinmarketcap.com/historical/20200603	02 June 2020	207	SwissBorg	CHSB	$23,679,399	$0.033594	704,880,233 CHSB *	$194,985	0.73%	8.62%	14.03%	
