url	title	row	#	Name	Symbol	Market Cap	Price	Circulating Supply	Volume (24h)	% 1h	% 24h	% 7d
https:/coinmarketcap.com/historical/20200705	04 July 2020	117	SwissBorg	CHSB	$62,268,644	$0.087639	710,514,612 CHSB *	$1,271,113	-0.33%	-5.43%	-7.04%	
https:/coinmarketcap.com/historical/20200704	03 July 2020	111	SwissBorg	CHSB	$67,725,911	$0.094709	715,097,164 CHSB *	$2,721,180	-0.97%	-4.70%	-5.37%	
https:/coinmarketcap.com/historical/20200703	02 July 2020	106	SwissBorg	CHSB	$70,759,796	$0.098951	715,097,164 CHSB *	$1,039,089	-1.78%	-6.07%	-13.03%	
https:/coinmarketcap.com/historical/20200702	01 July 2020	102	SwissBorg	CHSB	$75,140,587	$0.105077	715,097,164 CHSB *	$1,548,154	-0.28%	-5.29%	-17.53%	
https:/coinmarketcap.com/historical/20200701	30 June 2020	100	SwissBorg	CHSB	$79,245,618	$0.110826	715,045,255 CHSB *	$1,080,212	-0.29%	-2.79%	-19.27%	
https:/coinmarketcap.com/historical/20200630	29 June 2020	94	SwissBorg	CHSB	$81,840,067	$0.114454	715,045,255 CHSB *	$1,277,176	0.47%	3.47%	-20.28%	
