url	title	row	#	Name	Symbol	Market Cap	Price	Circulating Supply	Volume (24h)	% 1h	% 24h	% 7d
https:/coinmarketcap.com/historical/20200815	15 August 2020	140	SwissBorg	CHSB	$81,971,330	$0.114488	715,981,686 CHSB *	$698,144	0.05%	-3.39%	4.27%	
https:/coinmarketcap.com/historical/20200814	14 August 2020	141	SwissBorg	CHSB	$84,574,056	$0.118123	715,981,686 CHSB *	$816,834	-0.37%	0.05%	6.64%	
https:/coinmarketcap.com/historical/20200813	13 August 2020	137	SwissBorg	CHSB	$85,204,702	$0.119004	715,981,686 CHSB *	$883,948	0.45%	-2.20%	8.10%	
https:/coinmarketcap.com/historical/20200812	12 August 2020	135	SwissBorg	CHSB	$87,081,901	$0.121626	715,981,686 CHSB *	$814,946	0.59%	-1.26%	11.05%	
https:/coinmarketcap.com/historical/20200811	11 August 2020	125	SwissBorg	CHSB	$88,426,046	$0.123503	715,981,686 CHSB *	$1,548,287	0.82%	-8.98%	13.74%	
https:/coinmarketcap.com/historical/20200810	10 August 2020	117	SwissBorg	CHSB	$97,718,714	$0.136482	715,981,686 CHSB *	$3,074,164	0.12%	19.71%	24.66%	
