url	title	row	#	Name	Symbol	Market Cap	Price	Circulating Supply	Volume (24h)	\% 1h	\% 24h	\% 7d
https://coinmarketcap.com/historical/20191124	23 November 2019	433	SwissBorg	CHSB	$3,971,227	$0.006897	575,821,133 CHSB *	$27,889	-1.77%	-6.72%	-19.60%	
https://coinmarketcap.com/historical/20191117	16 November 2019	443	SwissBorg	CHSB	$4,927,306	$0.008557	575,821,133 CHSB *	$25,552	-0.91%	-0.82%	-7.71%	
https://coinmarketcap.com/historical/20191110	09 November 2019	429	SwissBorg	CHSB	$5,375,205	$0.009335	575,821,133 CHSB *	$16,960	0.21%	4.26%	1.20%	
https://coinmarketcap.com/historical/20191103	02 November 2019	431	SwissBorg	CHSB	$5,312,239	$0.009226	575,821,133 CHSB *	$14,368	-0.27%	-2.46%	-1.66%	
https://coinmarketcap.com/historical/20191027	26 October 2019	419	SwissBorg	CHSB	$5,408,949	$0.009393	575,821,133 CHSB *	$15,132	0.31%	1.36%	-0.30%	
