url	title	row	#	Name	Symbol	Market Cap	Price	Circulating Supply	Volume (24h)	\% 1h	\% 24h	\% 7d
https://coinmarketcap.com/historical/20200426	25 April 2020	256	SwissBorg	CHSB	$13,712,649	$0.019473	704,203,768 CHSB *	$81,232	0.44%	2.37%	-15.58%	
https://coinmarketcap.com/historical/20200419	18 April 2020	223	SwissBorg	CHSB	$16,121,703	$0.022894	704,203,768 CHSB *	$86,134	-0.49%	-3.80%	-0.55%	
https://coinmarketcap.com/historical/20200412	11 April 2020	212	SwissBorg	CHSB	$16,508,569	$0.023443	704,203,768 CHSB *	$64,591	0.82%	0.67%	-4.04%	
